,AGN,BA,BABA,BAC,BMY,BP,BUD,C,CHL,CVS,CVX,DIS,GE,HD,HSBC,IBM,JNJ,JPM,KO,LFC,LLY,MA,MCD,MDT,MO,MRK,NTT,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RAI,SLB,SNY,T,TM,TOT,TSM,UL,UN,UNH,V,VZ,WFC,WMT,XOM
2014-01-27,1,-1,0,0,0,0,0,-1,13,0,-1,0,6,0,0,1,1,6,2,0,-2,18,3,0,0,-1,0,0,0,4,10,-1,5,-3,-1,0,0,3,-2,0,0,0,0,0,0,0,2,-2,-2,0
2014-01-28,2,0,0,13,-1,2,0,1,-4,-1,-2,1,7,1,0,-1,0,-1,3,0,0,-2,1,0,1,-1,0,0,0,1,2,1,0,-1,-1,0,2,0,13,-1,0,0,0,0,0,-3,4,4,-3,4
2014-01-29,0,26,0,22,1,0,0,8,2,1,2,-3,2,1,0,6,2,8,1,0,0,3,1,0,-2,3,0,0,-1,1,3,1,0,8,0,0,0,0,11,0,0,0,0,0,1,0,4,10,10,2
2014-01-30,1,14,0,4,0,2,1,4,1,0,3,0,-1,-4,0,4,1,-3,5,0,2,9,3,0,1,1,0,1,0,1,6,3,9,1,1,-1,1,1,0,1,1,0,0,2,1,28,0,-7,1,-4
2014-01-31,0,2,0,5,0,-2,1,-3,-1,0,-4,0,1,1,0,5,-1,1,3,0,-2,12,3,0,2,0,0,2,0,0,4,0,4,4,0,1,-1,0,6,1,0,0,0,1,0,3,-2,0,3,2
2014-02-01,0,0,0,2,0,1,0,-1,0,-1,0,2,3,0,0,0,-1,0,1,0,0,-1,1,0,1,1,0,0,0,0,0,0,-1,4,0,0,0,0,1,2,0,0,0,0,0,0,1,-1,1,2
2014-02-02,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,1,0,3
2014-02-03,1,-1,0,-1,1,-1,1,6,-1,1,2,8,2,-2,0,3,2,7,1,0,1,14,3,0,-2,-1,0,2,0,2,3,0,0,10,1,0,1,0,2,1,0,0,2,1,1,10,3,6,-4,-2
2014-02-04,1,-1,0,9,0,-1,0,2,1,-1,6,2,2,-3,0,5,-1,0,5,0,0,-1,-2,2,1,-1,0,-1,0,-2,1,5,2,4,0,1,0,0,0,2,0,0,0,0,0,13,0,2,-3,-1
2014-02-05,2,2,0,13,0,2,1,0,0,17,2,39,-3,2,0,0,0,-4,26,0,1,1,4,2,4,7,0,0,0,1,30,8,0,4,0,2,2,4,2,2,0,0,0,0,0,0,1,2,-4,-3
2014-02-06,1,5,0,8,3,3,0,9,-1,-3,-1,22,2,0,0,3,4,-2,33,0,0,4,4,2,5,2,0,3,0,-1,41,3,0,1,0,0,-1,3,-2,0,0,1,0,0,-1,4,-1,-2,-1,1
2014-02-07,-1,16,0,9,-1,1,0,9,-2,3,1,11,-1,2,0,5,6,0,15,0,-2,3,-1,0,0,4,-1,-1,0,2,25,2,-1,4,0,1,0,0,4,-2,0,2,1,0,-4,1,2,3,1,5
2014-02-08,0,2,0,3,0,1,0,1,0,2,2,2,1,0,0,0,1,0,2,0,0,1,2,-1,1,0,0,0,0,1,1,1,3,2,0,0,0,0,3,-1,0,0,0,0,0,-1,0,0,1,3
2014-02-09,0,-1,0,-1,1,0,0,0,0,-2,0,0,1,0,0,1,0,-1,4,0,0,-1,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,-1,0,0,0,0,2,0,1,0,5
2014-02-10,2,5,0,-3,1,2,1,4,0,-1,1,9,2,3,0,0,3,5,1,0,0,3,5,0,0,4,1,0,0,0,10,3,1,1,0,0,0,-2,3,2,1,1,0,-1,1,2,5,1,5,8
2014-02-11,1,12,0,16,-2,6,0,8,0,13,3,5,10,0,0,-1,2,5,1,0,4,-1,0,2,1,-1,0,-1,0,1,3,3,1,1,0,0,1,3,4,2,1,0,0,0,0,2,2,0,5,13
2014-02-12,-2,1,0,0,1,1,3,5,-2,0,2,1,4,3,0,-1,2,-3,5,0,2,2,3,0,3,0,0,0,0,-1,16,3,4,3,0,-2,-1,0,-2,-1,-1,0,0,0,1,8,-2,0,-1,2
2014-02-13,2,8,0,9,0,-1,-1,4,-1,2,-1,8,1,0,0,6,4,2,11,0,0,0,0,1,1,2,0,1,0,4,77,3,0,1,0,0,0,0,2,0,-1,1,0,3,0,-1,4,0,-1,2
2014-02-14,-1,2,0,9,1,2,0,0,-1,0,5,8,7,0,0,-3,0,6,-2,0,0,2,0,0,1,1,0,-1,0,2,11,5,1,4,0,0,0,0,0,1,0,1,0,0,-1,4,-2,1,-2,7
2014-02-15,0,1,0,3,1,2,0,3,0,3,2,-3,6,0,0,2,-1,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,2,0,1,0,0,2,4,0,0,0,3
2014-02-16,-1,-1,0,-4,0,1,0,1,-1,0,-1,1,1,0,0,-2,1,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,1
2014-02-17,0,0,0,5,0,-1,0,-2,0,-1,0,-1,4,0,0,2,-3,0,4,0,0,3,1,-1,0,0,0,0,0,0,2,0,0,-1,0,0,0,0,2,1,0,-1,0,0,0,4,2,0,8,1
2014-02-18,1,1,0,0,1,1,0,3,0,0,-1,1,5,2,0,6,3,-5,5,1,0,3,5,1,0,3,0,-1,-2,0,12,3,3,-2,0,0,0,1,1,1,0,0,1,2,-1,6,2,0,3,1
2014-02-19,-1,2,0,11,1,-2,0,0,1,0,5,2,4,-2,0,6,-1,-2,4,0,9,4,-2,1,1,-1,0,-1,-4,1,12,-1,0,1,0,1,3,-3,4,1,0,0,0,0,0,2,-3,-3,-2,5
2014-02-20,0,1,0,-4,0,0,0,2,-1,3,3,0,6,-2,0,4,3,4,8,0,-1,-3,3,0,1,1,0,0,-1,2,15,1,2,1,-1,0,-2,0,1,0,0,0,0,1,0,3,3,-1,-8,5
2014-02-21,0,0,0,-2,0,0,0,2,1,0,-1,7,-1,2,0,5,4,-2,5,0,6,3,2,0,1,4,0,-1,0,3,6,2,1,2,-1,1,-2,0,3,-1,0,0,-1,0,0,2,8,-5,-10,2
2014-02-22,0,0,0,-1,1,0,0,-4,-1,1,1,2,1,0,0,6,1,-4,2,0,1,1,-2,0,0,3,0,0,1,-3,1,0,0,2,0,-2,0,0,-1,0,0,0,2,0,-2,2,-5,-3,-2,0
2014-02-23,0,2,0,-1,0,0,0,-1,3,1,0,0,1,1,0,0,1,-3,2,0,-1,-1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,-2,2
2014-02-24,-1,7,0,8,0,-2,2,4,0,1,1,2,2,0,0,0,1,4,3,0,-3,4,2,1,0,1,-1,-1,-1,0,2,-2,0,5,0,-1,0,-1,6,-1,0,0,-1,0,1,1,8,-2,1,-2
2014-02-25,2,3,0,11,-1,0,2,3,1,1,3,8,2,23,0,5,0,0,4,0,-1,3,5,1,-1,0,0,1,0,1,7,-1,4,-2,0,4,1,0,4,-1,0,0,0,0,-1,-1,6,2,4,1
2014-02-26,0,-1,0,9,-1,-1,3,-3,-1,-2,2,5,6,4,0,1,2,-4,3,0,0,7,3,0,1,1,0,0,0,-1,2,-1,1,0,-1,1,-1,0,4,1,0,0,0,0,1,1,0,-2,1,0
2014-02-27,5,1,0,4,0,0,2,-1,0,0,1,4,5,3,0,2,0,6,1,0,0,0,2,0,0,1,0,4,0,1,6,-2,0,0,3,4,0,0,2,-1,0,0,0,0,3,3,-2,1,1,3
2014-02-28,3,0,0,5,1,1,0,-6,1,0,-2,-1,2,-1,0,1,2,-1,7,0,-1,8,0,4,0,1,0,3,-1,-5,11,4,1,2,-1,6,0,0,2,-2,1,1,0,0,1,8,0,6,0,-1
2014-03-01,1,1,0,4,0,0,0,1,0,0,0,7,2,-1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,-2,1,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,1,8,0,0,1
