"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",124.459999,124.879997,123.709999,124.139999,4540300,116.065987
"2014-01-03",124.599998,124.889999,123.860001,124.349998,3506000,116.262327
"2014-01-06",124.589996,124.800003,123.519997,124.019997,4252300,115.953789
"2014-01-07",124.419998,125.32,123.650002,125.07,4563300,116.9355
"2014-01-08",124.440002,124.459999,122.75,123.290001,8282500,115.271272
"2014-01-09",123.419998,123.419998,122.019997,123.290001,5643500,115.271272
"2014-01-10",122.5,122.839996,120.370003,121.010002,8127500,113.139563
"2014-01-13",120.809998,120.900002,119.010002,119.25,6504200,111.494031
"2014-01-14",119.400002,119.75,118.800003,119.57,6904600,111.793218
"2014-01-15",119.690002,120.07,119.050003,119.18,5829300,111.428584
"2014-01-16",119.110001,119.290001,118.190002,118.830002,5041100,111.101349
"2014-01-17",119.029999,120.379997,118.739998,119.290001,7199700,111.53143
"2014-01-21",120.739998,120.889999,119.510002,120.360001,5602300,112.531837
"2014-01-22",120.510002,120.760002,119.970001,120.43,4977500,112.597284
"2014-01-23",119.839996,119.849998,118.260002,118.389999,6205800,110.689964
"2014-01-24",117.870003,118.139999,116.260002,116.290001,7094900,108.726549
"2014-01-27",116.260002,117.25,115.879997,116.43,6179500,108.857443
"2014-01-28",116.720001,117.029999,116.07,116.839996,4303700,109.240773
"2014-01-29",116.139999,116.889999,115.709999,116,5522100,108.455409
"2014-01-30",116.309998,116.959999,115.18,116.449997,5538700,108.876139
"2014-01-31",113.900002,113.900002,111.110001,111.629997,15523500,104.36963
"2014-02-03",112.349998,112.459999,110.540001,111.139999,11275300,103.911501
"2014-02-04",111.860001,112.040001,110.489998,110.830002,9717200,103.621666
"2014-02-05",111,111,109.269997,109.519997,10562900,102.396863
"2014-02-06",110.110001,111.349998,109.910004,111.269997,7983300,104.033043
"2014-02-07",111.910004,112.120003,110.389999,112.050003,7071800,104.762318
"2014-02-10",112.470001,112.470001,111.080002,111.690002,9251300,104.425732
"2014-02-11",112.029999,113.870003,111.949997,113.580002,6874700,106.192807
"2014-02-12",112.889999,112.889999,111.809998,112.029999,6422100,105.674006
"2014-02-13",111.730003,112.739998,111.18,112.510002,5061600,106.126776
"2014-02-14",112.580002,113.830002,111.589996,113.480003,6776400,107.041745
"2014-02-18",113.860001,114.110001,112.599998,112.709999,6106600,106.315427
"2014-02-19",112.550003,115.050003,112.470001,113.599998,7989900,107.154932
"2014-02-20",113.510002,115.330002,113.099998,114.599998,8406900,108.098197
"2014-02-21",114.720001,114.739998,112.599998,112.68,9221100,106.28713
